Coupon,ISIN,Name,Issue Date,Maturity Date,Jan.18,Jan.19,Jan.20,Jan.21,Jan.22,Jan.25,Jan.26,Jan.27,Jan.28,Jan.29
0.75%,CA135087F254,CDA 2021,10/19/2015,3/1/2021,100.08,100.08,100.08,100.07,100.07,100.06,100.06,100.06,100.06,100.06
3.25%,CA135087ZJ69,CDA 2021,7/19/2010,6/1/2021,101.16,101.15,101.13,101.1,101.1,101.08,101.08,101.07,101.05,101.04
0.75%,CA135087F585,CDA 2021,4/11/2016,9/1/2021,100.4,100.4,100.39,100.38,100.38,100.37,100.37,100.38,100.37,100.37
0.50%,CA135087G328,CDA 2022,10/11/2016,3/1/2022,100.44,100.43,100.41,100.4,100.41,100.39,100.39,100.41,100.41,100.41
1.75%,CA135087H490,CDA 2023,10/6/2017,3/1/2023,103.29,103.29,103.25,103.24,103.25,103.22,103.22,103.25,103.26,103.24
2.25%,CA135087J546,CDA 2024,10/5/2018,3/1/2024,106.21,106.21,106.17,106.15,106.17,106.12,106.18,106.22,106.19,106.18
1.50%,CA135087J967,CDA 19/24,4/5/2019,9/1/2024,104.27,104.28,104.25,104.19,104.24,104.29,104.26,104.32,104.24,104.24
1.25%,CA135087K528,CANADA 19/25,10/11/2019,3/1/2025,103.6,103.6,103.59,103.51,103.54,103.62,103.59,103.66,103.61,103.57
0.50%,CA135087K940,CANADA 20/25,4/3/2020,9/1/2025,100.33,100.32,100.3,100.22,100.27,100.37,100.33,100.42,100.35,100.33
0.25%,CA135087L518,CANADA 20/26,10/9/2020,3/1/2026,98.78,98.77,98.76,98.66,98.71,98.84,98.83,98.93,98.86,98.81
